C	CHEMISTRY; METALLURGY
C04B0026240000	Cellulosic waste liquor, e.g. sulfite lye
C04B0026260000	Bituminous materials, e.g. tar, pitch
C04B0026280000	Polysaccharides or derivatives thereof
C04B0026300000	Compounds having one or more carbon-to-metal or carbon-to-silicon linkages
C04B0026320000	containing silicon
C04B0028000000	Compositions of mortars, concrete or artificial stone, containing inorganic binders or the reaction product of an inorganic and an organic binder, e.g. polycarboxylate cements
C04B0028020000	containing hydraulic cements other than calcium sulfates
C04B0028040000	Portland cements
C04B0028060000	Aluminous cements
C04B0028080000	Slag cements
C04B0028100000	Lime cements or magnesium oxide cements
C04B0028120000	Hydraulic lime
C04B0028140000	containing calcium sulfate cements
C04B0028160000	containing anhydrite
C04B0028180000	containing mixtures of the silica-lime type
C04B0028200000	Sand-lime
C04B0028220000	Lime and pozzuolanas
C04B0028240000	containing alkyl ammonium or alkali metal silicates; containing silica sols
C04B0028260000	Silicates of the alkali metals
C04B0028280000	containing organic polyacids, e.g. polycarboxylate cements
C04B0028300000	containing magnesium cements (magnesium oxide cements C04B0028100000)
C04B0028320000	Magnesium oxychloride cements, e.g. Sorel cement
C04B0028340000	containing cold phosphate binders
C04B0028360000	containing sulfur, sulfides or selenium
C04B0030000000	Compositions for artificial stone, not containing binders (artificial stone from molten slag C04B0005000000)
C04B0030020000	containing fibrous materials
C04B0032000000	Artificial stone not provided for in other groups of this subclass (artificial stone from molten slag C04B0005000000)
C04B0032020000	with reinforcements
C04B0033000000	Ceramics
C04B0033000000	Clay-wares (monolithic refractories or refractory mortars C04B0035660000;porous products C04B0038000000)
C04B0033020000	Preparing or treating the raw materials individually or as batches
C04B0033040000	Clay; Kaolin
C04B0033060000	Rendering lime harmless
C04B0033080000	Preventing efflorescence
C04B0033100000	Eliminating iron or lime
C04B0033130000	Compounding ingredients (C04B0033360000, C04B0035710000 take precedence)
C04B0033132000	Waste materials; Refuse (C04B0033160000 takes precedence)
C04B0033135000	Combustion residues, e.g fly ash, incineration waste
C04B0033138000	from metallurgical processes, e.g. slag, furnace dust, galvanic waste
C04B0033140000	Colouring matters
C04B0033160000	Lean materials, e.g. grog, quartz
C04B0033180000	for liquefying the batches
C04B0033200000	for dry-pressing (C04B0033130000 takes precedence)
C04B0033220000	Grog products
C04B0033240000	Manufacture of porcelain or white ware
C04B0033260000	of porcelain for electrical insulation
C04B0033280000	Slip casting
C04B0033300000	Drying methods
C04B0033320000	Burning methods
C04B0033340000	combined with glazing
C04B0033360000	Reinforced clay-wares
C04B0035000000	Shaped ceramic products characterised by their composition; Ceramic compositions (containing free metal bonded to carbides, diamond, oxides, borides, nitrides, silicides, e.g. cermets, or other metal compounds, e.g. oxynitrides or sulfides, other than as macroscopic reinforcing agents C22C); Processing powders of inorganic compounds preparatory to the manufacturing of ceramic products
C04B0035010000	based on oxides
C04B0035030000	based on magnesium oxide, calcium oxide or oxide mixtures derived from dolomite
C04B0035035000	Refractories from grain sized mixtures containing non-oxide refractory materials, e.g. carbon
C04B0035040000	based on magnesium oxide
C04B0035043000	Refractories from grain sized mixtures
C04B0035047000	containing chromium oxide or chrome ore
C04B0035050000	Refractories by fusion casting
C04B0035053000	Fine ceramics
C04B0035057000	based on calcium oxide
C04B0035060000	based on oxide mixtures derived from dolomite
C04B0035080000	based on beryllium oxide
C04B0035100000	based on aluminium oxide
C04B0035101000	Refractories from grain sized mixtures
C04B0035103000	containing non-oxide refractory materials, e.g. carbon (C04B0035106000 takes precedence)
C04B0035105000	containing chromium oxide or chrome ore
C04B0035106000	containing zirconium oxide or zircon (ZrSiO4)
C04B0035107000	Refractories by fusion casting
C04B0035109000	containing zirconium oxide or zircon (ZrSiO4)
C04B0035111000	Fine ceramics
C04B0035113000	based on beta-aluminium oxide
C04B0035115000	Translucent or transparent products
C04B0035117000	Composites
C04B0035119000	with zirconium oxide
C04B0035120000	based on chromium oxide (C04B0035047000, C04B0035105000 take precedence)
C04B0035140000	based on silica
C04B0035160000	based on silicates other than clay
C04B0035180000	rich in aluminium oxide
C04B0035185000	Mullite
C04B0035190000	Alkali metal aluminosilicates, e.g. spodumene
C04B0035195000	Alkaline earth aluminosilicates, e.g. cordierite
C04B0035200000	rich in magnesium oxide
C04B0035220000	rich in calcium oxide
C04B0035260000	based on ferrites
C04B0035280000	with nickel oxide as the principal oxide
C04B0035300000	with zinc oxide
C04B0035320000	with cobalt oxide as the principal oxide
C04B0035340000	with zinc oxide
C04B0035360000	with manganese oxide as the principal oxide
C04B0035380000	with zinc oxide
C04B0035400000	with rare earth oxide
C04B0035420000	based on chromites (C04B0035047000, C04B0035105000 take precedence)
C04B0035440000	based on aluminates
C04B0035443000	Magnesium aluminate spinel
C04B0035447000	based on phosphates
C04B0035450000	based on copper oxide or solid solutions thereof with other oxides
C04B0035453000	based on zinc, tin or bismuth oxides or solid solutions thereof with other oxides, e.g. zincates, stannates or bismuthates
C04B0035457000	based on tin oxides or stannates
C04B0035460000	based on titanium oxides or titanates (containing also zirconium or hafnium oxides, zirconates or hafnates C04B0035490000)
C04B0035462000	based on titanates
C04B0035465000	based on alkaline earth metal titanates
C04B0035468000	based on barium titanates
C04B0035470000	based on strontium titanates
C04B0035472000	based on lead titanates
C04B0035475000	based on bismuth titanates
C04B0035478000	based on aluminium titanates
C04B0035480000	based on zirconium or hafnium oxides or zirconates or hafnates
C04B0035482000	Refractories from grain sized mixtures
C04B0035484000	Refractories by fusion casting
C04B0035486000	Fine ceramics
C04B0035488000	Composites
C04B0035490000	containing also titanium oxide or titanates
C04B0035491000	based on lead zirconates and lead titanates
C04B0035493000	containing also other lead compounds
C04B0035495000	based on vanadium, niobium, tantalum, molybdenum or tungsten oxides or solid solutions thereof with other oxides, e.g. vanadates, niobates, tantalates, molybdates or tungstates
C04B0035497000	based on solid solutions with lead oxide
C04B0035499000	containing also titanates
C04B0035500000	based on rare earth compounds
C04B0035505000	based on yttrium oxide
C04B0035510000	based on compounds of actinides
C04B0035515000	based on non-oxides (C04B0035500000, C04B0035510000 take precedence)
C04B0035520000	based on carbon, e.g. graphite
C04B0035524000	obtained from polymer precursors, e.g. glass-like carbon material
C04B0035528000	obtained from carbonaceous particles with or without other non-organic components
C04B0035532000	containing a carbonisable binder
C04B0035536000	based on expanded graphite
C04B0035547000	based on sulfides or selenides
C04B0035553000	based on fluorides
C04B0035560000	based on carbides
C04B0035563000	based on boron carbide
C04B0035565000	based on silicon carbide
C04B0035567000	Refractories from grain sized mixtures
C04B0035569000	Fine ceramics
C04B0035571000	obtained from polymer precursors
C04B0035573000	obtained by reaction sintering
C04B0035575000	obtained by pressure sintering
C04B0035576000	obtained by sintering without pressure
C04B0035577000	Composites
C04B0035580000	based on borides, nitrides or silicides
C04B0035581000	based on aluminium nitride
C04B0035582000	Composites
C04B0035583000	based on boron nitride
C04B0035583100	based on cubic boron nitride
C04B0035583300	based on hexagonal boron nitride
C04B0035583500	Composites
C04B0035584000	based on silicon nitride
C04B0035586000	Refractories from grain sized mixtures
C04B0035587000	Fine ceramics
C04B0035589000	obtained from polymer precursors
C04B0035591000	obtained by reaction sintering
C04B0035593000	obtained by pressure sintering (C04B0035594000 takes precedence)
C04B0035594000	obtained by sintering a reaction-sintered product, with or without pressure
C04B0035596000	Composites
C04B0035597000	based on silicon oxynitrides
C04B0035599000	based on silicon aluminium oxynitrides (SIALONS)
C04B0035622000	Forming processes; Processing powders of inorganic compounds preparatory to the manufacturing of ceramic products
C04B0035624000	Sol-gel processing
C04B0035626000	Preparing or treating the powders individually or as batches
C04B0035628000	Coating the powders
C04B0035630000	using additives specially adapted for forming the products
C04B0035632000	Organic additives
C04B0035634000	Polymers (C04B0035636000 takes precedence)
C04B0035636000	Polysaccharides or derivatives thereof
C04B0035638000	Removal thereof
C04B0035640000	Burning or sintering processes (C04B0033320000 takes precedence)
C04B0035645000	Pressure sintering
C04B0035650000	Reaction sintering of free metal- or free silicon-containing compositions
C04B0035653000	Processes involving a melting step
C04B0035657000	for manufacturing refractories (C04B0035050000, C04B0035107000, C04B0035484000 take precedence)
C04B0035660000	Monolithic refractories or refractory mortars, including those whether or not containing clay
C04B0035710000	Ceramic products containing macroscopic reinforcing agents (C04B0035660000 takes precedence)
C04B0035740000	containing shaped metallic materials
C04B0035760000	Fibres, filaments, whiskers, platelets, or the like
C04B0035780000	containing non-metallic materials
C04B0035800000	Fibres, filaments, whiskers, platelets, or the like
C04B0035810000	Whiskers
C04B0035820000	Asbestos; Glass; Fused silica
C04B0035830000	Carbon fibres in a carbon matrix
C04B0035840000	Impregnated or coated materials
C04B0037000000	Joining burned ceramic articles with other burned ceramic articles or other articles by heating
C04B0037020000	with metallic articles
C04B0037040000	with articles made from glass
C04B0038000000	Porous mortars, concrete, artificial stone or ceramic ware; Preparation thereof (treating slag with gases or gas generating material C04B0005060000)
C04B0038020000	by adding chemical blowing agents
C04B0038040000	by dissolving-out added substances
C04B0038060000	by burning-out added substances
C04B0038080000	by adding porous substances
C04B0038100000	by using foaming agents (C04B0038020000 takes precedence)
C04B0040000000	Processes, in general, for influencing or modifying the properties of mortars, concrete or artificial stone compositions, e.g. their setting or hardening ability (by selecting active ingredients C04B0022000000-C04B0024000000;hardening of a well-defined composition C04B0026000000-C04B0028000000;making porous, cellular or lightening C04B0038000000)
C04B0040020000	Selection of the hardening environment
C04B0040040000	Preventing evaporation of the mixing water (permanent coverings C04B0041000000)
C04B0040060000	Inhibiting the setting, e.g. mortars of the deferred action type containing water in breakable containers
C04B0041000000	After-treatment of mortars, concrete, artificial stone or ceramics; Treatment of natural stone (glazes, other than cold glazes, C03C0008000000)
C04B0041450000	Coating or impregnating
C04B0041460000	with organic materials
C04B0041470000	Oils, fats or waxes
C04B0041480000	Macromolecular compounds
C04B0041490000	Compounds having one or more carbon-to-metal or carbon-to-silicon linkages
C04B0041500000	with inorganic materials
C04B0041510000	Metallising
C04B0041520000	Multiple coating or impregnating
C04B0041530000	involving the removal of part of the materials of the treated article
C04B0041600000	of only artificial stone
C04B0041610000	Coating or impregnating
C04B0041620000	with organic materials
C04B0041630000	Macromolecular compounds
C04B0041640000	Compounds having one or more carbon-to-metal or carbon-to-silicon linkages
C04B0041650000	with inorganic materials
C04B0041660000	Fluorides, e.g. ocratation
C04B0041670000	Phosphates
C04B0041680000	Silicic acid; Silicates
C04B0041690000	Metals
C04B0041700000	for obtaining at least two superposed coatings having different compositions
C04B0041710000	at least one coating being an organic material
C04B0041720000	involving the removal of part of the materials of the treated articles, e.g. etching
C04B0041800000	of only ceramics
C04B0041810000	Coating or impregnating
C04B0041820000	with organic materials
C04B0041830000	Macromolecular compounds
C04B0041840000	Compounds having one or more carbon-to-metal or carbon-to-silicon linkages
C04B0041850000	with inorganic materials
C04B0041860000	Glazes; Cold glazes
C04B0041870000	Ceramics
C04B0041880000	Metals
C04B0041890000	for obtaining at least two superposed coatings having different compositions
C04B0041900000	at least one coating being a metal
C04B0041910000	involving the removal of part of the materials of the treated articles, e.g. etching
C04B0103000000	Indexing scheme associated with groups C04B0022000000 and C04B0024000000, relating to the function or property of the active ingredients.
C04B0103000000	Function or property of the active ingredients
C04B0103100000	Accelerators
C04B0103120000	Set accelerators
C04B0103140000	Hardening accelerators
C04B0103200000	Retarders
C04B0103220000	Set retarders
C04B0103240000	Hardening retarders
C04B0103300000	Water reducers, plasticisers, air-entrainers
C04B0103320000	Superplasticisers
C04B0103400000	Surface-active agents, dispersants
C04B0103420000	Pore formers
C04B0103440000	Thickening, gelling or viscosity increasing agents
C04B0103460000	Water-loss reducers, hygroscopic or hydrophilic agents
C04B0103480000	Foam stabilisers
C04B0103500000	Defoamers, air detrainers
C04B0103520000	Grinding aids
C04B0103540000	Pigments; Dyes
C04B0103560000	Opacifiers
C04B0103600000	Agents for protection against chemical, physical or biological attack
C04B0103610000	Corrosion inhibitors
C04B0103630000	Flame-proofing agents
C04B0103650000	Water proofers or repellants
C04B0103670000	Biocides
C04B0103690000	Fungicides
C04B0111000000	Indexing scheme associated with groups C04B0026000000-C04B0032000000, relating to the function, property or use of the mortars, concrete or artificial stone.
C04B0111000000	Function, property or use of the mortars, concrete or artificial stone
C04B0111100000	Compositions characterised by the absence of a specified material
C04B0111120000	Absence of asbestos, e.g. cement-asbestos substitutes
C04B0111200000	Resistance against chemical, physical or biological attack
C04B0111210000	Efflorescence resistance
C04B0111220000	Carbonation resistance
C04B0111230000	Acid resistance
C04B0111240000	Sea water resistance
C04B0111250000	Graffiti resistance
C04B0111260000	Corrosion of reinforcement resistance
C04B0111270000	Water resistance, i.e. waterproof or water repellant materials
C04B0111280000	Fire resistance
C04B0111300000	Nailable or sawable materials
C04B0111320000	Expansion inhibited materials
C04B0111340000	Non-shrinking materials
C04B0111400000	Porous or lightweight materials
C04B0111420000	Floating materials
C04B0111500000	Flexible or elastic materials
C04B0111520000	Sound insulating materials
C04B0111540000	Substitutes for natural stone, e.g. artificial marble
C04B0111560000	Compositions suited for fabrication of pipes, e.g. by centrifugal casting
C04B0111600000	Flooring materials
C04B0111620000	Self-levelling compositions
C04B0111700000	Grouts
C04B0111720000	Compositions used for repairing existing buildings or building materials
C04B0111740000	Underwater applications
C04B0111760000	Use at sub-zero temperatures
C04B0111800000	Optical properties, e.g. transparency
C04B0111820000	Coloured materials
C04B0111900000	Electrical properties
C04B0111920000	Electrically insulating materials
C04B0111940000	Electrically conducting materials
C05	FERTILISERS; MANUFACTURE THEREOF
C05B	PHOSPHATIC FERTILISERS
C05B0001000000	Superphosphates, i.e. fertilisers produced by reacting rock or bone phosphates with sulfuric or phosphoric acid in such amounts and concentrations as to yield solid products directly
C05B0001020000	Superphosphates
C05B0001040000	Double-superphosphate; Triple-superphosphate Other fertilisers based essentially on monocalcium phosphate
C05B0001060000	Ammoniation of superphosphates (fertilisers based essentially on ammonium orthophosphate C05B0007000000)
C05B0001100000	Apparatus for the manufacture of superphosphates
C05B0003000000	Fertilisers based essentially on di-calcium phosphate (C05B0011000000 takes precedence)
C05B0005000000	Thomas phosphate; Other slag phosphates
C05B0007000000	Fertilisers based essentially on alkali or ammonium orthophosphates (C05B0011000000 takes precedence)
C05B0009000000	Fertilisers based essentially on phosphates or double phosphates of magnesium (C05B0011000000 takes precedence)
C05B0011000000	Fertilisers produced by wet-treating or leaching raw materials either with acids in such amounts and concentrations as to yield solutions followed by neutralisation, or with alkaline lyes
C05B0011020000	Pretreatment
C05B0011040000	using mineral acid
C05B0011060000	using nitric acid (nitrophosphates)
C05B0011080000	using sulfuric acid
C05B0011100000	using orthophosphoric acid
C05B0011120000	using aqueous hydrochloric acid
C05B0011140000	using wet gaseous acids
C05B0011160000	using alkaline lyes
C05B0013000000	Fertilisers produced by pyrogenic processes from phosphatic materials
C05B0013020000	from rock phosphates (C05B0013060000 takes precedence)
C05B0013040000	from metallic phosphorus compounds, e.g. ferro-phosphorus
C05B0013060000	Alkali or alkaline earth meta- or polyphosphate fertilisers
C05B0015000000	Organic phosphatic fertilisers (bone meal C05B0017000000)
C05B0017000000	Other phosphatic fertilisers, e.g. soft rock phosphates, bone meal
C05B0017020000	containing manganese
C05B0019000000	Granulation or pelletisation of phosphatic fertilisers other than slag
C05B0019020000	of superphosphates or mixtures containing them
C05B0021000000	Mixtures of phosphatic fertilisers covered by more than one of main groups C05B0001000000-C05B0019000000
C05C	NITROGENOUS FERTILISERS
C05C0001000000	Ammonium nitrate fertilisers
C05C0001020000	Granulation; Pelletisation; Stabilisation; Colouring
C05C0003000000	Fertilisers containing other salts of ammonia or ammonia itself, e.g. gas liquor
C05C0005000000	Fertilisers containing other nitrates
C05C0005020000	containing sodium or potassium nitrate
C05C0005040000	containing calcium nitrate
C05C0007000000	Fertilisers containing calcium or other cyanamides
C05C0007020000	Granulation; Pelletisation; De-gassing; Hydrating; Hardening; Stabilisation; Oiling
C05C0009000000	Fertilisers containing urea or urea compounds
C05C0009020000	containing urea-formaldehyde condensates
C05C0011000000	Other nitrogenous fertilisers
C05C0013000000	Mixtures of nitrogenous fertilisers covered by more than one of main groups C05C0001000000-C05C0011000000
C05D	INORGANIC FERTILISERS NOT COVERED BY SUBCLASSES C05B, C05C; FERTILISERS PRODUCING CARBON DIOXIDE
C05D0001000000	Fertilisers containing potassium (C05D0007000000 takes precedence)
C05D0001020000	Manufacture from potassium chloride or sulfate or double or mixed salts thereof
C05D0001040000	from minerals or volcanic rocks
C05D0003000000	Calcareous fertilisers (C05D0007000000 takes precedence)
C05D0003020000	from limestone, calcium carbonate, calcium hydrate, slaked lime, calcium oxide, waste calcium compounds
C05D0003040000	from blast-furnace slag or other slags containing lime or calcium silicates
C05D0005000000	Fertilisers containing magnesium (C05D0007000000 takes precedence)
C05D0007000000	Fertilisers producing carbon dioxide
C05D0009000000	Other inorganic fertilisers
C05D0009020000	containing trace elements
C05D0011000000	Mixtures of fertilisers covered by more than one of main groups C05D0001000000-C05D0009000000
C05F	ORGANIC FERTILISERS NOT COVERED BY SUBCLASSES C05B, C05C, e.g. FERTILISERS FROM WASTE OR REFUSE
C05F0001000000	Fertilisers made from animal corpses, or parts thereof
C05F0001020000	Apparatus for their manufacture
C05F0003000000	Fertilisers from human or animal excrements, e.g. manure
C05F0003020000	Guano
C05F0003040000	from human faecal masses
C05F0003060000	Apparatus for their manufacture
C05F0005000000	Fertilisers from distillery wastes, molasses, vinasses, sugar plant, or similar wastes or residues
C05F0007000000	Fertilisers from waste water, sewage sludge, sea slime, ooze or similar masses
C05F0007020000	from sulfite liquor or other waste lyes from the manufacture of cellulose
C05F0007040000	from waste liquors in the potash industry
C05F0009000000	Fertilisers from household or town refuse
C05F0009020000	Apparatus for the manufacture
C05F0009040000	Biological compost
C05F0011000000	Other organic fertilisers
C05F0011020000	from peat, brown coal, or similar vegetable deposits
C05F0011040000	Horticultural earth ("Gärtnerische Erden") from peat
C05F0011060000	Apparatus for their manufacture
C05F0011080000	Organic fertilisers containing added bacterial cultures, mycelia or the like
C05F0011100000	Fertilisers containing plant vitamins or hormones
C05F0015000000	Mixtures of fertilisers covered by more than one of main groups C05F0001000000-C05F0011000000; Fertilisers from mixtures of starting materials, all the starting materials being covered by this subclass but not by the same main group
C05F0017000000	Preparation of fertilisers characterised by the composting step
C05F0017020000	Apparatus therefor
C05G	MIXTURES OF FERTILISERS COVERED INDIVIDUALLY BY DIFFERENT SUBCLASSES OF CLASS C05; MIXTURES OF ONE OR MORE FERTILISERS WITH MATERIALS NOT HAVING A SPECIFIC FERTILISING ACTIVITY, e.g. PESTICIDES, SOIL-CONDITIONERS, WETTING AGENTS (organic fertilisers containing added bacterial cultures, mycelia, or the like C05F0011080000;organic fertilisers containing plant vitamins or hormones C05F0011100000); FERTILISERS CHARACTERISED BY THEIR FORM
C05G0001000000	Mixtures of fertilisers covered individually by different subclasses of class C05
C05G0001020000	of superphosphates with ammonium nitrate
C05G0001040000	of Thomas phosphate with potassium compounds
C05G0001060000	of alkali or ammonium orthophosphates with ammonium nitrate or ammonium sulfate or other nitrates or potassium compounds
C05G0001080000	of ammonium nitrate with limestone or calcium carbonate
C05G0001100000	of ammonium sulfate with potassium compounds
C05G0003000000	Mixtures of one or more fertilisers with materials not having a specifically fertilising activity
C05G0003020000	with pesticides
C05G0003040000	with soil conditioners
C05G0003060000	with wetting agents
C05G0003080000	with agents affecting the nitrification of ammonium compounds or urea in the soil
C05G0003100000	with dust-preventing coatings
C05G0005000000	Fertilisers characterised by their form (granulating fertilisers characterised by their chemical constitution, see the relevant groups in C05B-C05G)
C06	EXPLOSIVES; MATCHES
C06B	EXPLOSIVE OR THERMIC COMPOSITIONS (blasting F42D); MANUFACTURE THEREOF; USE OF SINGLE SUBSTANCES AS EXPLOSIVES
C06B0021000000	Apparatus or methods for working-up explosives, e.g. forming, cutting, drying
C06B0023000000	Compositions characterised by non-explosive or non-thermic constituents
C06B0023020000	for neutralising poisonous gases from explosives produced during blasting
C06B0023040000	for cooling the explosion gases
C06B0025000000	Compositions containing a nitrated organic compound
C06B0025020000	the nitrated compound being starch or sugar
C06B0025040000	the nitrated compound being an aromatic
C06B0025060000	with two or more nitrated aromatic compounds present
C06B0025080000	at least one of which is nitrated toluene
C06B0025100000	the compound being nitroglycerine
C06B0025120000	with other nitrated organic compound
C06B0025140000	the other compound being a nitrated aliphatic diol
C06B0025160000	the other compound being a nitrated aromatic
C06B0025180000	the compound being nitrocellulose present as 10% or more by weight of the total composition
C06B0025200000	with a non-explosive or a non-thermic component
C06B0025220000	with a nitrated aromatic compound
C06B0025240000	with nitroglycerine
C06B0025260000	with an organic non-explosive or an organic non-thermic component
C06B0025280000	the compound being nitrocellulose present as less than 10% by weight of the total composition
C06B0025300000	with nitroglycerine
C06B0025320000	the compound being nitrated pentaerythritol
C06B0025340000	the compound being a nitrated acyclic, alicyclic or heterocyclic amine
C06B0025360000	the compound being a nitroparaffin
C06B0025380000	with other nitrated organic compound
C06B0025400000	with two or more nitroparaffins present
C06B0027000000	Compositions containing a metal, boron, silicon, selenium or tellurium or mixtures, intercompounds or hydrides thereof, and hydrocarbons or halogenated hydrocarbons
C06B0029000000	Compositions containing an inorganic oxygen-halogen salt, e.g. chlorate, perchlorate
C06B0029020000	of an alkali metal
C06B0029040000	with an inorganic non-explosive or an inorganic non-thermic component
C06B0029060000	the component being a cyanide; the component being an oxide of iron, chromium or manganese
C06B0029080000	with an organic non-explosive or an organic non-thermic component
C06B0029100000	the component being a dye or a colouring agent
C06B0029120000	with carbon or sulfur
C06B0029140000	with iodine or an iodide
C06B0029160000	with a nitrated organic compound
C06B0029180000	the compound being nitrated toluene or a nitrated phenol
C06B0029200000	the compound being nitrocellulose
C06B0029220000	the salt being ammonium perchlorate
C06B0031000000	Compositions containing an inorganic nitrogen-oxygen salt
C06B0031020000	the salt being an alkali metal or an alkaline earth metal nitrate
C06B0031040000	with carbon or sulfur
C06B0031060000	with an organic non-explosive or an organic non-thermic component
C06B0031080000	with a metal oxygen-halogen salt, e.g. inorganic chlorate, inorganic perchlorate
C06B0031100000	with carbon or sulfur
C06B0031120000	with a nitrated organic compound
C06B0031140000	the compound being an aromatic
C06B0031160000	the compound being a nitrated toluene
C06B0031180000	the compound being a nitrated phenol, e.g. picric acid
C06B0031200000	the compound being nitroglycerine
C06B0031220000	the compound being nitrocellulose
C06B0031240000	with other explosive or thermic component
C06B0031260000	the other component being nitroglycerine
C06B0031280000	the salt being ammonium nitrate
C06B0031300000	with vegetable matter; with resin; with rubber
C06B0031320000	with a nitrated organic compound
C06B0031340000	the nitrated compound being starch or sugar
C06B0031360000	with other explosive or thermic component
C06B0031380000	the nitrated compound being an aromatic
C06B0031400000	with an organic non-explosive or an organic non-thermic component
C06B0031420000	with other explosive or thermic component
C06B0031440000	the compound being nitroglycerine
C06B0031460000	with a vegetable matter component, e.g. wood pulp, sawdust
C06B0031480000	with other explosive or thermic component
C06B0031500000	the other component being a nitrated organic compound
C06B0031520000	the compound being nitrocellulose present as 10% or more by weight of the total composition
C06B0031540000	with other nitrated organic compound
C06B0031560000	the compound being nitrocellulose present as less than 10% by weight of the total composition
C06B0033000000	Compositions containing particulate metal, alloy, boron, silicon, selenium or tellurium with at least one oxygen supplying material which is either a metal oxide or a salt, organic or inorganic, capable of yielding a metal oxide
C06B0033020000	with an organic non-explosive or an organic non-thermic component
C06B0033040000	the material being an inorganic nitrogen-oxygen salt
C06B0033060000	the material being an inorganic oxygen-halogen salt
C06B0033080000	with a nitrated organic compound
C06B0033100000	the compound being an aromatic
C06B0033120000	the material being two or more oxygen-yielding compounds
C06B0033140000	at least one being an inorganic nitrogen-oxygen salt
C06B0035000000	Compositions containing a metal azide
C06B0037000000	Compositions containing a metal fulminate
C06B0037020000	with a nitrated organic compound or an inorganic oxygen-halogen salt
C06B0039000000	Compositions containing free phosphorus or a binary compound of phosphorus, except with oxygen
C06B0039020000	with an inorganic oxygen-halogen salt
C06B0039040000	with a binary compound of phosphorus, except with oxygen
C06B0039060000	with free metal, alloy, boron, silicon, selenium or tellurium
C06B0041000000	Compositions containing a nitrated metallo-organic compound
C06B0041020000	the compound containing lead
C06B0041040000	with an organic explosive or an organic thermic component
C06B0041060000	with an inorganic explosive or an inorganic thermic component
C06B0041080000	with a metal azide or a metal fulminate
C06B0041100000	with other nitrated metallo-organic compound
C06B0043000000	Compositions characterised by explosive or thermic constituents not provided for in groups C06B0025000000-C06B0041000000
C06B0045000000	Compositions or products which are defined by structure or arrangement of component or product (explosive charges of particular form or shape F42B0001000000, F42B0003000000)
C06B0045020000	comprising particles of diverse size or shape
C06B0045040000	comprising solid particles dispersed in solid solution or matrix
C06B0045060000	the solid solution or matrix containing an organic component
C06B0045080000	the dispersed solid containing an inorganic explosive or an inorganic thermic component
C06B0045100000	the organic component containing a resin
C06B0045120000	having contiguous layers or zones
C06B0045140000	a layer or zone containing an inorganic explosive or an inorganic thermic component
C06B0045160000	the layer or zone containing at least one inorganic component from the group of azide, fulminate, phosphorus and phosphide
C06B0045180000	comprising a coated component (particles dispersed in a matrix C06B0045040000;coated explosive charges F42B)
C06B0045200000	the component base containing an organic explosive or an organic thermic component
C06B0045220000	the coating containing an organic compound
C06B0045240000	the compound being an organic explosive or an organic thermic component
C06B0045260000	the compound being a nitrated toluene
C06B0045280000	the component base containing nitrocellulose and nitroglycerine
C06B0045300000	the component base containing an inorganic explosive or an inorganic thermic component
C06B0045320000	the coating containing an organic compound
C06B0045340000	the compound being an organic explosive or an organic thermic component
C06B0045360000	the component base containing both an organic explosive or thermic component and an inorganic explosive or thermic component
C06B0047000000	Compositions in which the components are separately stored until the moment of burning or explosion, e.g. "Sprengel"-type explosives; Suspensions of solid component in a normally non-explosive liquid phase, including a thickened aqueous phase
C06B0047020000	the components comprising a binary propellant
C06B0047040000	a component containing a nitrogen oxide or acid thereof
C06B0047060000	a component being a liquefied normally gaseous material supplying oxygen (C06B0047040000 takes precedence)
C06B0047080000	a component containing hydrazine or a hydrazine derivative
C06B0047100000	a component containing free boron, an organic borane or a binary compound of boron, except with oxygen
C06B0047120000	a component being a liquefied normally gaseous fuel
C06B0047140000	comprising a solid component and an aqueous phase
C06B0049000000	Use of single substances as explosives
C06C	DETONATING OR PRIMING DEVICES; FUSES; CHEMICAL LIGHTERS; PYROPHORIC COMPOSITIONS
C06C0005000000	Fuses, e.g. fuse cords
C06C0005040000	Detonating fuses
C06C0005060000	Fuse igniting means; Fuse connectors
C06C0005080000	Devices for the manufacture of fuses
C06C0007000000	Non-electric detonators; Blasting caps; Primers
C06C0007020000	Manufacture; Packing
C06C0009000000	Chemical contact igniters; Chemical lighters
C06C0015000000	Pyrophoric compositions; Flints (chemical lighters C06C0009000000)
C06D	MEANS FOR GENERATING SMOKE OR MIST; GAS-ATTACK COMPOSITIONS; GENERATION OF GAS FOR BLASTING OR PROPULSION (CHEMICAL PART)
C06D0003000000	Generation of smoke or mist (chemical part) (compositions used as biocides, pest repellants or attractants, or plant growth regulators A01N0025180000)
C06D0005000000	Generation of pressure gas, e.g. for blasting cartridges, starting cartridges, rockets (explosive compositions containing an oxidizer, fuels for rocket engines intended for reaction with an oxidant other than air C06B)
C06D0005020000	by decompressing compressed, liquefied, or solidified gases
C06D0005040000	by auto-decomposition of single substances
C06D0005060000	by reaction of two or more solids
C06D0005080000	by reaction of two or more liquids
C06D0005100000	by reaction of solids with liquids
C06D0007000000	Compositions for gas-attacks
C06F	MATCHES; MANUFACTURE OF MATCHES
C06F0001000000	Mechanical manufacture of matches
C06F0001020000	Cutting match splints
C06F0001040000	Filling match splints into carrier bars; Discharging matches
C06F0001060000	Dipping, coating, impregnating, or drying of matches
C06F0001080000	Carrier bars
C06F0001100000	Guiding means for carrier bars
C06F0001120000	Filling matches into boxes
C06F0001140000	Manufacture of ignition strips
